year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2026,33530,55954,36.223,-109.646,p29,6,1,1359.0199170283956,206.82498215646729,1
2026,2391,11831,46.544,-119.104,p3,3,1,2424.219490924944,19.199999999999818,0
2026,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,201.94329733394488,1
2026,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,1829.0378771074295,0
2026,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,675.3852570646518,1
2026,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,1086.5,0
2026,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2026,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,641.3000000000002,0
2026,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,265.35857770360826,1
2026,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,84.39999999999986,0
2026,7792,21335,44.264,-117.582,p7,3,1,4545.954018683905,2.6302738268757366,0
2026,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,264.0999999999999,0
2026,17140,34226,40.365,-120.549,p8,5,1,3962.8952077144286,37.34335017967783,0
2026,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2026,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2525.57139375,0
2026,31498,53216,35.379,-120.129,p9,6,1,15234.556548827522,1280.34725625,0
2026,29152,49797,36.26,-120.305,p9,6,1,16632.579278531695,114.55519615384605,0
2026,29401,50177,36.165,-120.271,p9,6,2,20279.741465094387,1999.4169230769241,0
2026,29913,50937,35.974000000000004,-120.202,p9,6,3,26371.388818113013,26.645130738213993,1
2028,1003,8784,47.13,-120.51,p1,3,1,5662.650344010896,15.0,0
2028,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2324.646084375,0
2028,31778,53601,35.406,-119.448,p10,6,1,4004.9788897441376,2214.743259375,0
2028,35533,58575,34.894,-114.643,p10,6,1,4023.676633642185,2106.578390625,0
2028,34642,57410,34.659,-117.968,p10,6,1,4038.762729821812,3282.25516875,1
2028,41147,66550,32.763000000000005,-114.746,p10,6,1,4331.6141243845,1635.7016854857063,1
2028,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2028,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2028,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2028,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2028,40617,65781,32.777,-115.935,p10,7,4,22151.425927789965,1465.6,0
2028,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2028,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,716.37937734375,0
2028,40879,66158,32.617,-116.286,p11,6,1,31876.9879847924,49.89908419471101,0
2028,40880,66159,32.638000000000005,-116.16,p11,6,2,38561.12672956741,220.384615384615,0
2028,40611,65773,32.607,-116.942,p11,6,3,42790.13974432775,102.455634375,0
2028,40878,66157,32.596,-116.412,p11,6,3,52334.51179805403,81.650519471154,0
2028,39598,64260,33.143,-116.17,p11,6,4,61226.68874174034,520.18560703125,1
2028,40613,65776,32.672,-116.565,p11,6,4,62653.94896595503,11.766700661058053,1
2028,39328,63879,33.219,-116.325,p11,6,5,64071.94587920848,63.8030769230769,1
2028,40615,65778,32.714,-116.313,p11,6,6,65327.01192005005,396.939230769231,1
2028,39595,64256,33.059,-116.677,p11,6,7,69490.48854743043,76.79654296874997,1
2028,39856,64634,32.919000000000004,-116.901,p11,6,7,77466.27713211298,97.774435546875,1
2028,39047,63494,33.208,-116.986,p11,6,7,93138.69242585512,59.45200499801402,1
2028,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,2742.846673694329,1
2028,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,0
