year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,48865,71215,32.889,-101.095,s165,3,1,-8612.674294743461,249.0,1
2009,49823,72739,32.513000000000005,-100.554,s165,3,2,18275.019042415104,318.9,1
2009,49348,71977,32.701,-100.824,s165,3,3,33802.00743244504,120.0,1
2009,46579,67793,33.766,-101.419,s165,3,4,40410.42703757662,98.8,1
2009,46578,67792,33.761,-101.55,s165,3,5,96178.53736444136,63.0,1
2009,49586,72359,32.611999999999995,-100.56,s165,4,1,4433.351493021823,313.8831,1
2009,49822,72738,32.509,-100.682,s165,4,1,12304.021630878446,21.616899999999987,1
2009,46317,67419,33.897,-100.642,s165,4,3,40069.51548076742,180.0,1
2009,49824,72740,32.518,-100.426,s165,4,5,66309.89498869046,45.061200000000014,1
2009,45789,66671,34.142,-99.079,s165,5,1,7281.87535835274,80.5,1
2009,50752,74259,32.117,-100.53,s165,5,3,33466.100267087226,71.80000000000001,1
2009,50053,73112,32.378,-101.445,s165,5,5,79238.46240409059,90.0801,1
2009,46592,67806,33.828,-99.721,s165,6,2,27363.61961718624,244.5,1
2009,44941,65520,34.394,-100.543,s165,6,3,43021.33468525766,101.19999999999999,1
2009,47381,68945,33.528,-99.836,s165,6,4,60618.013325796215,75.0,1
2009,48626,70843,33.026,-100.068,s165,6,5,84779.33988853499,70.45670000000001,1
2009,48624,70841,33.017,-100.327,s165,7,5,77884.09837755916,85.43879999999999,1
2009,49344,71973,32.68,-101.338,s165,8,2,36384.716220813534,0.03500000000002501,1
2009,50536,73883,32.234,-100.024,s166,1,1,15531.996320611728,297.5292,1
2009,50301,73503,32.333,-100.03,s166,1,2,40223.88430696631,213.0,1
2009,50069,73128,32.452,-99.394,s166,2,4,57260.22107942479,218.6514,1
2009,52678,78057,31.115,-100.721,s166,2,4,64064.92399101358,45.348600000000005,1
2009,52675,78054,31.1,-101.099,s166,3,2,14151.447722148992,81.39080000000001,1
2009,50961,74636,32.003,-100.906,s166,3,4,39954.19574581327,149.5,1
2009,50960,74635,31.998,-101.033,s166,3,5,50034.24942324502,214.5,1
2009,51164,75016,31.904,-100.899,s166,4,1,-13199.343037152385,312.0,1
2009,52672,78051,31.083,-101.477,s166,4,2,28758.496917293895,124.2,1
2009,54074,81101,30.338,-100.173,s166,4,5,84988.45570905882,39.4632,1
2009,54813,83375,29.711,-100.882,s166,5,2,27166.02933624758,276.3473,1
2009,52855,78428,30.966,-101.846,s166,5,4,73626.16297948327,120.6,1
