sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
18541,35957,41.976000000000006,-89.7,p80,3,20,299.483578125,88283.3186230792
17656,34828,42.187,-88.042,p80,3,20,47.1076541015625,101354.20168532582
17644,34816,42.274,-89.819,p80,3,20,143.708269921875,103213.51217837064
18542,35958,41.97,-89.553,p80,3,20,102.45455859375,107058.93457933149
17654,34826,42.203,-88.338,p80,3,20,31.19331159667968,107624.8965156825
17642,34814,42.287,-90.115,p80,3,20,101.4085986328125,111116.3367464492
18239,35574,42.092,-90.134,p80,3,20,241.340227734375,111207.5159539769
17340,34433,42.39,-90.255,p80,3,20,33.6258685546875,117105.5026496514
18538,35954,41.995,-90.143,p80,3,20,291.73270078125,133639.80371262025
17342,34435,42.378,-89.958,p80,3,20,226.351683984375,140157.6541563307
17045,34053,42.487,-90.246,p80,3,20,66.30490722656249,146540.47718259794
17942,35196,42.177,-89.829,p80,3,20,109.71562324218748,156669.27617558325
17058,34067,42.39,-88.166,p80,3,20,53.05442255859375,163001.79753407778
17338,34431,42.402,-90.552,p80,3,20,27.559601367187494,181760.7919055113
17343,34436,42.372,-89.809,p80,3,20,33.99129404296875,218799.1743521178
17046,34054,42.481,-90.097,p80,3,20,102.90585673828124,233655.40609540304
17341,34434,42.38399999999999,-90.106,p80,3,20,34.23570600585937,269951.42363616964
17643,34815,42.281000000000006,-89.96700000000001,p80,3,20,65.91652646484374,289625.1558660901
19497,37112,41.571000000000005,-87.531,p80,3,20,6.8544000549316415,350491.69689391373
17954,35208,42.09,-88.055,p80,3,20,11.749779711914062,360728.6481111717
17049,34057,42.462,-89.65100000000001,p80,3,20,30.966572900390624,480226.190924116
17345,34438,42.359,-89.512,p80,3,20,9.374388464355466,944386.2906579764
17044,34052,42.493,-90.395,p80,3,20,11.80799945068359,983513.7621943712
23754,42410,40.362,-90.87,p81,3,1,1806.067884375,4318.774541909998
