sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,compare,trans_cap_cost
13959,,32.801697,-108.31432,p31,6,,13.976622890888644,0.9804028402699668,11891.516
14630,,32.05979,-106.64553,p31,6,,4.320047075365581,0.9804028402699668,12987.879
11885,,35.338314000000004,-106.67495,p31,6,,6.60713082114736,0.9804028402699668,13703.695
11617,,35.587540000000004,-106.03844,p31,6,,6.3530104049493845,0.9804028402699668,14108.532
11989,,35.180504,-106.78503,p31,6,,19.059031214848154,0.9804028402699668,14137.976
10221,,36.695652,-108.12432,p31,6,,3.8118062429696304,0.9804028402699668,15185.357
11986,,35.141690000000004,-107.78611,p31,6,,13.468382058492695,0.9804028402699668,15352.845
13963,,32.961777000000005,-105.99772,p31,6,,2.795324578177729,0.9804028402699668,15389.879
11485,,35.63122,-106.11229,p31,6,,2.032963329583803,0.9804028402699668,16302.074
12325,,34.886986,-106.739784,p31,6,,13.976622890888644,0.9804028402699668,16597.139
14469,,32.256935,-106.67424,p31,6,,7.369492069741286,0.9804028402699668,17017.72
11987,,35.229403999999995,-106.7926,p31,6,,0.5082408323959507,0.9804028402699668,17167.137
12221,,34.99593,-106.62263,p31,6,,32.27329285714287,0.9804028402699668,17577.191000000003
14375,,32.26198,-107.70678,p31,6,,55.906491563554574,0.9804028402699668,18359.613
14636,,32.037857,-106.32117,p31,6,,27.69912536557932,0.9804028402699668,18373.945
12424,,34.789097,-106.724785,p31,6,,263.77699201349844,0.9804028402699668,19451.527
12422,,34.838043,-106.73228,p31,6,,282.07366197975267,0.9804028402699668,19882.256
12426,,34.80015,-106.59296,p31,6,,0.2541204161979754,0.9804028402699668,20664.451
11887,,35.28942,-106.66745,p31,6,,107.74705646794156,0.9804028402699668,23130.182
14804,,31.856968,-106.680275,p31,6,,49.29936074240722,0.9804028402699668,23261.557
10220,,36.689377,-108.19194,p31,6,,25.15792120359956,0.9804028402699668,23459.055
12421,,34.78352,-106.79068999999998,p31,6,,32.01917244094489,0.9804028402699668,23497.293
14632,,32.065334,-106.58207,p31,6,,37.86394201349833,0.9804028402699668,25676.02
12219,,35.044857,-106.63007,p31,6,,111.30474229471322,0.9804028402699668,26069.88
14374,,32.255856,-107.770325,p31,6,,448.2684141732285,0.9804028402699668,26563.564
12420,,34.832462,-106.798225,p31,6,,54.12764865016876,0.9804028402699668,27606.896
10168,,36.79298,-108.14173999999998,p31,6,,20.83787412823398,0.9804028402699668,27658.143
12425,,34.79464,-106.658875,p31,6,,192.11503464566937,0.9804028402699668,28972.363
12423,,34.84359,-106.66632,p31,6,,259.2028245219349,0.9804028402699668,29118.268
14467,,32.245728,-106.801476,p31,6,,77.25260652418451,0.9804028402699668,29294.314
11488,,35.69052,-105.985825,p31,6,,111.81298312710916,0.9804028402699668,33277.223
12217,,34.984848,-106.75482,p31,6,,75.47376361079868,0.9804028402699668,34991.36
12516,,34.745686,-106.651436,p31,6,,198.9762858830147,0.9804028402699668,37190.32
14718,,31.961178000000004,-106.63124,p31,6,,17.788429133858276,0.9804028402699668,41210.93
10170,,36.74432,-108.13302,p31,6,,113.59182604049498,0.9804028402699668,42491.965
13194,,34.031845000000004,-106.87448,p31,6,,33.543894938132745,0.9804028402699668,44945.953
12517,,34.751194,-106.58556000000002,p31,6,,44.47107283464569,0.9804028402699668,46813.887
12515,,34.685616,-106.77564,p31,6,,135.1920614173229,0.9804028402699668,47934.062000000005
12324,,34.941475,-106.68125,p31,6,,92.753951912261,0.9804028402699668,48975.97
10166,,36.738037,-108.20068,p31,6,,178.3925321709787,0.9804028402699668,49476.535
14631,,32.010487,-106.63838,p31,6,,97.58223982002254,0.9804028402699668,51161.992
12104,,35.153664,-106.51248,p31,6,,83.09737609673795,0.9804028402699668,52320.375
12100,,35.148197,-106.578735,p31,6,,44.47107283464569,0.9804028402699668,56675.164
11882,,35.190533,-107.79438,p31,6,,30.24032952755907,0.9804028402699668,57637.98
11881,,35.184406,-107.86057,p31,6,,35.0686174353206,0.9804028402699668,58337.285
10223,,36.7081,-107.98905,p31,6,,31.76505202474692,0.9804028402699668,58991.26
12599,,34.636654,-106.76813500000002,p31,6,,171.2771605174354,0.9804028402699668,60412.88
12218,,34.990406,-106.68873,p31,6,,476.98402120359975,0.9804028402699668,61301.78
14633,,32.01603,-106.57496,p31,6,,178.6466525871767,0.9804028402699668,61898.38
14806,,31.813198,-106.60987,p31,6,,135.9544226659168,0.9804028402699668,62629.6
13082,,34.080870000000004,-106.881996,p31,6,,190.0820713160856,0.9804028402699668,63318.805
12215,,35.033770000000004,-106.76236000000002,p31,6,,209.3952229471317,0.9804028402699668,72327.91
12216,,35.039333,-106.69622,p31,6,,660.7130821147359,0.9804028402699668,73967.54
14635,,32.03245,-106.38463,p31,6,,508.2408323959508,0.9804028402699668,77994.82
12097,,35.082687,-106.769905,p31,6,,156.28405596175483,0.9804028402699668,85451.38
12098,,35.088253,-106.70372,p31,6,,385.5006713723286,0.9804028402699668,86796.02
14006,,32.863335,-105.98412,p31,6,,39.13454409448821,0.9804028402699668,96245.46
12096,,35.137170000000005,-106.71123,p31,6,,180.9337363329585,0.9804028402699668,99714.2
12099,,35.1427,-106.64499,p31,6,,397.1902105174355,0.9804028402699668,102799.734
14005,,32.91256,-105.99091,p31,6,,39.38866451068618,0.9804028402699668,108279.7
13960,,32.7526,-108.30597,p31,6,,17.5343087176603,0.9804028402699668,109987.234
11990,,35.186077000000004,-106.71875,p31,6,,228.96249499437585,0.9804028402699668,112686.86
11993,,35.191612,-106.652466,p31,6,,393.3784042744659,0.9804028402699668,115378.32
13962,,32.758995,-108.24203500000002,p31,6,,29.73208869516312,0.9804028402699668,118921.76
11994,,35.197113,-106.58617,p31,6,,220.06828042744667,0.9804028402699668,119643.46
11996,,35.202583000000004,-106.51986,p31,6,,136.97090433070872,0.9804028402699668,125301.51
11988,,35.234978000000005,-106.72628,p31,6,,388.0418755343084,0.9804028402699668,125695.01
11991,,35.240520000000004,-106.65995,p31,6,,389.0583571991002,0.9804028402699668,128079.984
13961,,32.808094,-108.25034,p31,6,,79.79381068616426,0.9804028402699668,128498.016
11992,,35.246025,-106.593605,p31,6,,337.2177922947133,0.9804028402699668,131886.47
11884,,35.28388,-106.733826,p31,6,,278.770096569179,0.9804028402699668,138727.55
11888,,35.29493,-106.60106,p31,6,,304.4362586051745,0.9804028402699668,144301.22
11890,,35.300404,-106.53466,p31,6,,129.60141226096744,0.9804028402699668,148929.2
11883,,35.332767,-106.74138,p31,6,,141.03683098987634,0.9804028402699668,151777.56
14468,,32.251347,-106.73786,p31,6,,351.7026560179979,0.9804028402699668,156819.3
11886,,35.343826,-106.60852,p31,6,,171.02304010123743,0.9804028402699668,156842.92
14380,,32.30061,-106.7451,p31,6,,287.9184315523061,0.9804028402699668,168810.88
14377,,32.294987,-106.80876,p31,6,,256.4074999437572,0.9804028402699668,174389.53
14378,,32.34987,-106.75236,p31,6,,365.4251584926886,0.9804028402699668,180972.95
14376,,32.344242,-106.816055,p31,6,,416.5033621484816,0.9804028402699668,186157.97
14285,,32.404716,-106.69586,p31,6,,287.6643111361081,0.9804028402699668,189283.05
14284,,32.39912,-106.75961,p31,6,,175.597207592801,0.9804028402699668,193270.84
14283,,32.39349,-106.82336,p31,6,,153.48873138357715,0.9804028402699668,198109.84
11985,,35.135567,-107.85226000000002,p31,6,,83.35149651293592,0.9804028402699668,202400.98
11491,,35.641624,-105.97877,p31,6,,174.5807259280091,0.9804028402699668,237359.12
14007,,32.917747,-105.92666,p31,6,,438.35771794150753,0.9804028402699668,257369.66
11489,,35.63644,-106.04553,p31,6,,553.9825073115863,0.9804028402699668,271196.1
14008,,32.868520000000004,-105.91991000000002,p31,6,,120.45307727784032,0.9804028402699668,288466.6
14807,,31.813198,-106.60987,p31,7,,45.36,3.125,5110.652
2041,,44.006516,-103.29196,p32,3,,4.948798768915108,1.0048730443703515,3174.949
2042,,44.010242,-103.215775,p32,3,,5.730188048217492,1.0048730443703515,4262.7056
1931,,44.11111,-103.1511,p32,3,,0.7813892793023853,1.0048730443703515,4834.3374
1445,,44.517590000000006,-103.81808,p32,3,,4.167409489612721,1.0048730443703515,7790.988
1927,,44.103687,-103.30373,p32,3,,28.911403334188257,1.0048730443703515,14907.538
1537,,44.46499,-103.888466,p32,3,,12.502228468838164,1.0048730443703515,20309.645
1929,,44.055103,-103.29784,p32,3,,113.82237168504746,1.0048730443703515,33627.746
1928,,44.10742,-103.22742,p32,3,,111.4782038471403,1.0048730443703515,41427.22
1930,,44.05883,-103.221596,p32,3,,191.961299615286,1.0048730443703515,44543.18
1932,,44.06252,-103.14534,p32,3,,188.57527940497565,1.0048730443703515,56720.38
1538,,44.46902,-103.81174,p32,3,,60.68790069248526,1.0048730443703515,135283.94
1444,,44.513554,-103.89487,p32,3,,145.59886904334445,1.0048730443703515,153438.45
