year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2018,13261,,32.61513,-117.04343,p11,6,,7617.384,6.632148453608249,1
2018,9745,,36.79183,-114.15926,p13,5,,30567.682,6.356985081081081,0
2018,9747,,36.80115,-114.092224,p13,5,,40542.805,6.443014918918948,1
2018,754,,45.779340000000005,-111.125336,p18,2,,4266.7085,1.8375384615384602,1
2018,591,,46.573597,-112.062546,p18,3,,9820.824,9.241323832923833,1
2018,779,,45.68057,-110.62238,p18,3,,10772.159,1.9119980343980345,1
2018,750,,45.763767,-111.28072,p18,3,,12531.99,0.318666339066339,1
2018,567,,46.621693,-112.07601,p18,3,,22295.428,0.6904733320733243,1
2018,845,,45.723392,-108.48793,p20,3,,3943.4148,1.8144,1
2018,816,,45.78447,-108.34219,p20,3,,8454.815,1.1856,1
2018,7237,,39.645092,-110.76543,p25,5,,843.6955,4.867444255975326,0
2018,8538,,38.579754,-109.60382,p25,5,,5673.4917,3.6505831919814944,0
2018,7236,,39.637493,-110.83582,p25,5,,5945.368,0.9734888511950652,0
2018,8539,,38.586735,-109.53441,p25,5,,7574.844,39.20848370084811,1
2018,10947,,35.201405,-114.08028,p27,6,,3519.6436,2.7840800834202293,0
2018,10946,,35.08698,-114.52548,p27,6,,7436.1284,7.5159199165797705,1
2018,13547,,32.675846,-114.493805,p28,7,,5455.411999999999,31.099999999999966,1
2018,14200,,32.070159999999994,-110.836845,p30,6,,4896.062,20.960000000000008,1
2018,14282,,32.305054,-107.77826,p31,6,,437.23062,6.40769230769231,1
2018,14807,,31.813198,-106.60987,p31,7,,5110.652,34.89230769230774,1
2018,8360,,39.039272,-108.41655,p33,5,,2132.0273,1.0368000000000002,0
2018,8068,,39.61901,-104.728065,p33,5,,4096.9688,58.26319999999998,1
2018,8605,,38.92872,-104.77772,p34,5,,3559.823,12.52777193136824,1
2018,9614,,38.0721,-102.570206,p34,5,,5029.1655,2.8722280686317596,1
