sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
14387,28009,43.724,-84.62899999999999,s214,8,3,4.485536911010742,1595192.093860382
14388,28010,43.713,-84.478,s214,8,3,0.6560999999999999,11333686.345889725
14071,27629,43.821000000000005,-84.611,s214,8,3,0.6804,12194930.265063483
14714,28389,43.628,-84.647,s214,8,3,0.4330259925842284,18509338.870727096
14715,28390,43.61600000000001,-84.49700000000001,s214,8,3,0.0486,212448466.5728819
15683,29527,43.36,-85.00200000000001,s215,6,1,19.926,301115.6383794288
17926,32189,42.66,-84.82600000000001,s215,6,1,9.7686,830661.1331095861
20147,34851,41.959,-84.654,s215,6,2,3.2319,876461.9435736038
19833,34471,42.056,-84.63600000000001,s215,6,2,9.8415,1372577.3817158146
19513,34091,42.153,-84.619,s215,6,3,7.7273999999999985,2278629.77342022
19514,34092,42.141000000000005,-84.47200000000001,s215,6,3,3.4012710296630857,2966469.001900335
20461,35230,41.874,-84.818,s215,6,4,4.9086,3009474.5891647143
20148,34852,41.948,-84.507,s215,6,4,2.0898,3222742.8787758653
20146,34850,41.971,-84.801,s215,6,4,2.43,4230995.142917349
20780,35610,41.777,-84.836,s215,6,5,3.645,4634833.888206926
19834,34472,42.044,-84.48899999999999,s215,6,5,3.2076,4971057.1841717325
20462,35231,41.862,-84.67200000000001,s215,6,5,2.1384,6710299.784101222
20149,34853,41.93600000000001,-84.361,s215,6,5,1.4337,7481278.008815709
20781,35611,41.766000000000005,-84.689,s215,6,5,2.6244,8425417.593229687
20463,35232,41.851000000000006,-84.525,s215,6,5,0.9234,17161808.157692313
15362,29149,43.434,-84.684,s215,7,1,189.4671,54647.550345762975
15363,29150,43.423,-84.53299999999999,s215,7,1,296.4114,74687.23117498482
15364,29151,43.411,-84.383,s215,7,2,197.802,85485.95336410761
15685,29530,43.326,-84.552,s215,7,2,270.8478,92513.91829880032
15686,29531,43.31399999999999,-84.402,s215,7,3,239.8653,97158.939954389
16004,29910,43.229,-84.57,s215,7,3,134.0388,117507.31598861788
16005,29911,43.217,-84.42,s215,7,3,101.817,124741.36153600164
16322,30289,43.144,-84.73700000000001,s215,7,4,109.2528,175432.16801077593
16003,29909,43.24100000000001,-84.72,s215,7,4,77.0067,199789.48238988745
16321,30288,43.155,-84.887,s215,7,4,48.2355,264130.01928750944
16002,29908,43.252,-84.869,s215,7,4,36.3042,363120.5927038728
20785,35615,41.718,-84.105,s215,7,4,37.09079088134766,417518.00486873207
19839,34477,41.983,-83.756,s215,7,4,29.403,429563.9165946818
16966,31048,42.962,-84.92200000000001,s215,7,4,16.325226177978514,445796.5876816122
19194,33710,42.261,-84.74799999999999,s215,7,4,12.9762,520497.6520023871
20468,35237,41.79,-83.794,s215,7,4,17.7633,535518.9745979373
17606,31806,42.791,-85.255,s215,7,4,8.869499999999997,570903.3741324577
20153,34857,41.887,-83.775,s215,7,4,17.3016,608688.2978835368
16645,30669,43.047,-84.755,s215,7,4,12.3687,650934.473402864
20467,35236,41.802,-83.94,s215,7,5,27.428381762695324,682128.5114217785
20152,34856,41.899,-83.921,s215,7,5,17.6175,701229.7209882579
19838,34476,41.996,-83.902,s215,7,5,9.8172,703923.7285505107
16646,30670,43.036,-84.60600000000001,s215,7,5,15.5034,706421.486372783
16967,31049,42.95,-84.773,s215,7,5,16.524,782490.5004547323
20784,35614,41.73,-84.251,s215,7,5,21.2139,782715.4670392195
19512,34090,42.164,-84.766,s215,7,5,20.082248822021484,798697.1802835267
18237,32565,42.608,-85.43700000000001,s215,7,5,15.6492,880246.4309625953
