"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p4","p2","AC","summ","2032",4673.10425701188
"p4","p2","AC","summ","2034",3974.45387903441
"p4","p2","AC","summ","2036",3479.34691917151
"p4","p2","AC","summ","2038",2766.75549970273
"p4","p2","AC","summ","2040",2865.66584238427
"p4","p2","AC","summ","2042",4101.14145113542
"p4","p2","AC","summ","2044",5150.05652209869
"p4","p2","AC","summ","2046",6683.77589520989
"p4","p2","AC","summ","2048",7331.43128704405
"p4","p2","AC","summ","2050",7723.98440297279
"p4","p2","AC","fall","2022",3965.506
"p4","p2","AC","fall","2024",1010.61598790885
"p4","p2","AC","fall","2026",3965.506
"p4","p2","AC","fall","2028",3965.6046559478
"p4","p2","AC","fall","2030",4648.48659445003
"p4","p2","AC","fall","2032",4655.04958157938
"p4","p2","AC","fall","2034",4223.35599080047
"p4","p2","AC","fall","2036",3365.37246868333
"p4","p2","AC","fall","2038",2692.32742627523
"p4","p2","AC","fall","2040",3578.36921370391
"p4","p2","AC","fall","2042",5001.76915047425
"p4","p2","AC","fall","2044",6280.25544370009
"p4","p2","AC","fall","2046",6935.11225337202
"p4","p2","AC","fall","2048",7331.43128704405
"p4","p2","AC","fall","2050",7723.98440297279
"p4","p2","AC","wint","2022",3965.506
"p4","p2","AC","wint","2024",442.23350355
"p4","p2","AC","wint","2026",3965.506
"p4","p2","AC","wint","2028",3965.6046559478
"p4","p2","AC","wint","2030",4648.48659445003
"p4","p2","AC","wint","2032",2176.95592449583
"p4","p2","AC","wint","2034",3177.2458637293
"p4","p2","AC","wint","2036",1355.10585776671
"p4","p2","AC","wint","2038",1916.74805573118
"p4","p2","AC","wint","2040",2463.1060881866
"p4","p2","AC","wint","2042",2407.32257916776
"p4","p2","AC","wint","2044",2175.97248225054
"p4","p2","AC","wint","2046",2841.06069718107
"p4","p2","AC","wint","2048",3993.58116804048
"p4","p2","AC","wint","2050",4469.41883568041
"p4","p2","AC","spri","2022",3965.506
"p4","p2","AC","spri","2024",3965.506
"p4","p2","AC","spri","2026",2308.45892611377
"p4","p2","AC","spri","2028",828.939846720797
"p4","p2","AC","spri","2030",4648.48659445003
"p4","p2","AC","spri","2032",4673.10425701188
"p4","p2","AC","spri","2034",1492.26234618902
"p4","p2","AC","spri","2036",341.368769118113
"p4","p2","AC","spri","2038",1095.03844804611
"p4","p2","AC","spri","2040",2345.97318119404
